agent,folder,dataset,in_paper,n_traces,n_valid
gpt_5_4,webgames_val,webgames,False,25,25
gpt_5_4,webshop_test,webshop,True,75,75
gpt_5_4,webshop_train,webshop,True,150,150
gpt_5_4,webshop_val,webshop,True,75,75
qwen3_5_27b,2wikimultihop_test,2wikimultihop,True,75,75
qwen3_5_27b,2wikimultihop_train,2wikimultihop,True,147,147
qwen3_5_27b,2wikimultihop_val,2wikimultihop,True,74,74
qwen3_5_27b,deepshop_ood,deepshop,True,147,147
qwen3_5_27b,frames_test,frames,True,659,659
qwen3_5_27b,webgames_test,webgames,False,23,23
qwen3_5_27b,webgames_train,webgames,False,99,99
qwen3_5_27b,webgames_val,webgames,False,25,25
qwen3_5_27b,webshop_test,webshop,True,75,75
qwen3_5_27b,webshop_train,webshop,True,150,150
qwen3_5_27b,webshop_val,webshop,True,75,75
qwen3_5_9b,2wikimultihop_test,2wikimultihop,True,69,69
qwen3_5_9b,2wikimultihop_train,2wikimultihop,True,144,144
qwen3_5_9b,2wikimultihop_val,2wikimultihop,True,69,69
qwen3_5_9b,deepshop_ood,deepshop,True,147,147
qwen3_5_9b,frames_test,frames,True,716,716
qwen3_5_9b,webgames_test,webgames,False,21,21
qwen3_5_9b,webgames_train,webgames,False,93,93
qwen3_5_9b,webgames_val,webgames,False,25,25
qwen3_5_9b,webshop_test,webshop,True,73,73
qwen3_5_9b,webshop_train,webshop,True,146,146
qwen3_5_9b,webshop_val,webshop,True,75,75
qwen3vl_30b_a3b,2wikimultihop_test,2wikimultihop,True,75,75
qwen3vl_30b_a3b,2wikimultihop_train,2wikimultihop,True,150,150
qwen3vl_30b_a3b,2wikimultihop_val,2wikimultihop,True,75,75
qwen3vl_30b_a3b,deepshop_ood,deepshop,True,150,150
qwen3vl_30b_a3b,frames_test,frames,True,822,822
qwen3vl_30b_a3b,webgames_test,webgames,False,24,24
qwen3vl_30b_a3b,webgames_train,webgames,False,97,97
qwen3vl_30b_a3b,webgames_val,webgames,False,25,25
qwen3vl_30b_a3b,webshop_test,webshop,True,75,75
qwen3vl_30b_a3b,webshop_train,webshop,True,150,150
qwen3vl_30b_a3b,webshop_val,webshop,True,75,75
qwen3vl_8b,2wikimultihop_test,2wikimultihop,True,75,75
qwen3vl_8b,2wikimultihop_train,2wikimultihop,True,147,147
qwen3vl_8b,2wikimultihop_val,2wikimultihop,True,74,74
qwen3vl_8b,deepshop_ood,deepshop,True,149,149
qwen3vl_8b,frames_test,frames,True,801,801
qwen3vl_8b,webgames_test,webgames,False,25,25
qwen3vl_8b,webgames_train,webgames,False,63,63
qwen3vl_8b,webgames_val,webgames,False,25,25
qwen3vl_8b,webshop_test,webshop,True,75,75
qwen3vl_8b,webshop_train,webshop,True,148,148
qwen3vl_8b,webshop_val,webshop,True,75,75
seed_2_lite,2wikimultihop_test,2wikimultihop,True,74,74
seed_2_lite,2wikimultihop_train,2wikimultihop,True,148,148
seed_2_lite,2wikimultihop_val,2wikimultihop,True,75,75
seed_2_lite,deepshop_ood,deepshop,True,150,150
seed_2_lite,frames_test,frames,True,815,815
seed_2_lite,webgames_test,webgames,False,22,22
seed_2_lite,webgames_train,webgames,False,88,88
seed_2_lite,webgames_val,webgames,False,21,21
seed_2_lite,webshop_test,webshop,True,74,74
seed_2_lite,webshop_train,webshop,True,147,147
seed_2_lite,webshop_val,webshop,True,72,72
uitars_7b,2wikimultihop_test,2wikimultihop,True,72,72
uitars_7b,2wikimultihop_train,2wikimultihop,True,147,147
uitars_7b,2wikimultihop_val,2wikimultihop,True,74,74
uitars_7b,deepshop_ood,deepshop,True,139,139
uitars_7b,frames_test,frames,True,777,777
uitars_7b,webgames_test,webgames,False,23,23
uitars_7b,webgames_train,webgames,False,93,93
uitars_7b,webgames_val,webgames,False,22,22
uitars_7b,webshop_test,webshop,True,72,72
uitars_7b,webshop_train,webshop,True,142,142
uitars_7b,webshop_val,webshop,True,71,71
